model_id	host_strain_name	host_strain_nomenclature	engraftment_site	engraftment_type	sample_type	sample_state	passage_number	publications	Provider
C1035	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1037	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1040	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1041	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1042	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1044	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1045	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1047	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1051	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1053	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1054	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1058	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1062	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1066	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1068	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1069	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1070	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1071	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1075	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1086	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1087	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1092	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1114	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1117	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1122	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1137	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1138	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1141	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1142	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1143	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1144	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1148	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1151	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1157	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1159	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1163	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1166	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1168	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1174	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1177	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1179	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C1186	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5001	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5002	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5003	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5004	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5005	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5006	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5007	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5008	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5009	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5010	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5011	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5012	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5013	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5014	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5015	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5016	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5017	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5018	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5019	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5020	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
C5021	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
E4001	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
E4002	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
E4005	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
E4013	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
E4016	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
E4017	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
E4022	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
F3004	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
F3008	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
F3018	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
F3020	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
F3026	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
F3028	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
F3036	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
F3042	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
F3048	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
F3050	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
F3053	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
F3064	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
F3065	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
H6005	NGS	Not Provided	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
HCC4034	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4044	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4058	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4059	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4064	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4068	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4080	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4082	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4083	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4087	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4088	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4089	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4090	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4092	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4133	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4145	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4170	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4185	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4186	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4188	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4190	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4193	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4196	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
HCC4207	Not Provided	Not Provided	Not provided	Not provided	Not provided	Not provided	0		MDAnderson
N2003	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
O0002	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
O0008	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
O0013	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
O0021	NOG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Sug</sup>/JicTac	Subcutanious Flank	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC114	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC117	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1	PMID: 25444907	MDAnderson
TC133	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2	PMID: 25444907	MDAnderson
TC137	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC142	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC145	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC152	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC154	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1	PMID: 25444907	MDAnderson
TC162	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC164	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC168	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC169	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC172	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC209	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC211	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC219	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC223	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC241	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC247	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC250	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC253	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC255	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC257	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC258	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC260	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC282	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC286	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC290	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC303	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC312	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC314	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC316	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC318	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC319	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC330	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC333	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC349	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC353	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC358	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC359	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC366	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC370	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC371	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC372	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC373	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC375	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC380	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC383	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC384	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC385	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC386	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC388	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC389	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC391	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC393	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC395	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC396	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC397	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC400	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC402	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC403	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC404	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC405	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC406	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC411	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC422	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC423	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC424	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC427	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC429	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC430	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC431	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC434	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC435	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC436	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC438	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC441	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC442	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC445	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC449	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC451	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC453	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC454	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC455	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	2		MDAnderson
TC461	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC462	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
